Year,Value,Units
2015,386.431757,"US dollar, Millions, 2024 constant prices"
2016,416.757763,"US dollar, Millions, 2024 constant prices"
2017,393.230847,"US dollar, Millions, 2024 constant prices"
2018,354.901968,"US dollar, Millions, 2024 constant prices"
2019,272.054498,"US dollar, Millions, 2024 constant prices"
2020,356.431981,"US dollar, Millions, 2024 constant prices"
2021,1227.097877,"US dollar, Millions, 2024 constant prices"
2022,939.904629,"US dollar, Millions, 2024 constant prices"
2023,443.043613,"US dollar, Millions, 2024 constant prices"
2024,223.085969,"US dollar, Millions, 2024 constant prices"
