Year,Value,Series
2018,0.277,"Net official development assistance, total, as a proportion of the OECD Development Assistance Committee donors' gross national income (GNI)"
2019,0.275,"Net official development assistance, total, as a proportion of the OECD Development Assistance Committee donors' gross national income (GNI)"
2020,0.31,"Net official development assistance, total, as a proportion of the OECD Development Assistance Committee donors' gross national income (GNI)"
