Year,Value,Units
2015,2.5,Percentage (%)
2016,2.5,Percentage (%)
2017,2.5,Percentage (%)
2018,2.5,Percentage (%)
2019,2.5,Percentage (%)
2020,2.5,Percentage (%)
2021,2.5,Percentage (%)
