Year,Value,Units
2015,85.617755,"US dollar, Millions, 2024 constant prices"
2016,51.028976,"US dollar, Millions, 2024 constant prices"
2017,57.70478,"US dollar, Millions, 2024 constant prices"
2018,59.373456,"US dollar, Millions, 2024 constant prices"
2019,46.835967,"US dollar, Millions, 2024 constant prices"
2020,45.385495,"US dollar, Millions, 2024 constant prices"
2021,69.008685,"US dollar, Millions, 2024 constant prices"
2022,41.717565,"US dollar, Millions, 2024 constant prices"
2023,32.473786,"US dollar, Millions, 2024 constant prices"
2024,33.794082,"US dollar, Millions, 2024 constant prices"
