"Year","Units","Value"
"2015","Index","0.74"
"2016","Index","-1.22"
"2017","Index","-1.09"
"2018","Index","-0.64"
"2019","Index","0.49"
"2020","Index","0.33"
"2021","Index","-0.48"
"2022","Index","1.08"
