Year,Value
1990,0.35
1991,0.35
1992,0.36
1993,0.36
1994,0.36
1995,0.4
1996,0.41
1997,0.41
1998,0.45
1999,0.49
2000,0.49
2001,0.49
2002,0.5
2003,0.56
2004,0.6
2005,0.67
2006,0.68
2007,0.86
2008,1
2009,1
2010,1.2
2011,1.2
2012,1.2
2013,1.2
2014,1.2
2015,1.2
2016,1.4
2017,7.9
2018,8.1
2019,13.8
2020,13.8
