Year,Household income quintile,Household income decile,Geography,Series,GeoCode,Value
2019-2024,,Lowest decile,New Brunswick,Income per capita,13,-0.687
2019-2024,,Second decile,New Brunswick,Income per capita,13,-1.509
2019-2024,,Third decile,New Brunswick,Income per capita,13,-1.7
2019-2024,,Fourth decile,New Brunswick,Income per capita,13,-1.292
2019-2024,,Total deciles,Quebec,Income per capita,24,0.396
2019-2024,,Lowest decile,Quebec,Income per capita,24,1.288
2019-2024,,Second decile,Quebec,Income per capita,24,0.801
2019-2024,,Third decile,Quebec,Income per capita,24,0.722
2019-2024,,Fourth decile,Quebec,Income per capita,24,0.67
2019-2024,,Total deciles,Ontario,Income per capita,35,-0.574
2019-2024,,Lowest decile,Ontario,Income per capita,35,-2.554
2019-2024,,Second decile,Ontario,Income per capita,35,-1.066
2019-2024,,Third decile,Ontario,Income per capita,35,-0.8
2019-2024,,Fourth decile,Ontario,Income per capita,35,-1.131
2019-2024,,Total deciles,Manitoba,Income per capita,46,-0.809
2019-2024,,Lowest decile,Manitoba,Income per capita,46,-0.611
2019-2024,,Second decile,Manitoba,Income per capita,46,-0.774
2019-2024,,Third decile,Manitoba,Income per capita,46,-0.911
2019-2024,,Fourth decile,Manitoba,Income per capita,46,-0.991
2019-2024,,Total deciles,Saskatchewan,Income per capita,47,-0.459
2019-2024,,Lowest decile,Saskatchewan,Income per capita,47,0.409
2019-2024,,Second decile,Saskatchewan,Income per capita,47,-0.873
2019-2024,,Third decile,Saskatchewan,Income per capita,47,-1.329
2019-2024,,Fourth decile,Saskatchewan,Income per capita,47,-0.84
2019-2024,,Total deciles,Alberta,Income per capita,48,-2.523
2019-2024,,Lowest decile,Alberta,Income per capita,48,-3.587
2019-2024,,Second decile,Alberta,Income per capita,48,-3.121
2019-2024,,Third decile,Alberta,Income per capita,48,-2.669
2019-2024,,Fourth decile,Alberta,Income per capita,48,-2.838
2019-2024,,Total deciles,British Columbia,Income per capita,59,-0.5
2019-2024,,Lowest decile,British Columbia,Income per capita,59,-2.166
2019-2024,,Second decile,British Columbia,Income per capita,59,-1.003
2019-2024,,Third decile,British Columbia,Income per capita,59,-0.637
2019-2024,,Fourth decile,British Columbia,Income per capita,59,-0.633
2019-2024,,Total deciles,Yukon,Income per capita,60,-1.983
2019-2024,,Lowest decile,Yukon,Income per capita,60,-3.09
2019-2024,,Second decile,Yukon,Income per capita,60,-2.351
2019-2024,,Third decile,Yukon,Income per capita,60,-2.994
2019-2024,,Fourth decile,Yukon,Income per capita,60,-2.975
2019-2024,,Total deciles,Northwest Territories,Income per capita,61,2.068
2019-2024,,Lowest decile,Northwest Territories,Income per capita,61,12.121
2019-2024,,Second decile,Northwest Territories,Income per capita,61,3.683
2019-2024,,Third decile,Northwest Territories,Income per capita,61,1.606
2019-2024,,Fourth decile,Northwest Territories,Income per capita,61,1.72
2019-2024,,Total deciles,Nunavut,Income per capita,62,-1.875
2019-2024,,Lowest decile,Nunavut,Income per capita,62,1.339
2019-2024,,Second decile,Nunavut,Income per capita,62,0.639
2019-2024,,Third decile,Nunavut,Income per capita,62,-1.322
2019-2024,,Fourth decile,Nunavut,Income per capita,62,-1.274
