Value,Disaggregation combinations using this value,Number of indicators
Extreme trophic,1,1
Extreme turbidity,1,1
High trophic,1,1
High turbidity,1,1
Low trophic,1,1
Low turbidity,1,1
Medium trophic,1,1
Medium turbidity,1,1
