Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Agriculture, fishing, hunting and trapping","Agriculture, fishing, hunting and trapping","Agriculture, pêche, chasse et piégage",14,1
Commercial and other institutional,Commercial and other institutional,Commerces et autres institutions,14,1
"Energy use, final demand","Energy use, final demand",Consommation énergétique finale,14,1
Public administration,Public administration,Administrations publiques,14,1
Residential,Residential,Résidentiel,14,1
Total industrial,Total industrial,Total industriel,14,1
Total transportation,Total transportation,Total transport,14,1
