Value,Disaggregation combinations using this value,Number of indicators
15 to 24 years,11,1
25 to 64 years,11,1
65 years and over,11,1
Immigrants,11,1
Men+,11,1
Non-immigrants,11,1
"Total, 15 years and over",11,1
Women+,11,1
