Value,en,fr,Disaggregation combinations using this value,Number of indicators
15 to 24 years,15 to 24 years,15 à 24 ans,3,1
15 to 49 years,15 to 49 years,15 à 49 ans,3,1
50 years and over,50 years and over,50 ans et plus,3,1
All ages,All ages,Tous les âges,2,1
