Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Agriculture, forestry and fishing","Agriculture, forestry and fishing","Agriculture, sylviculture et pêche",2,2
Industry,Industry,Industrie,2,2
Services,Services,Services,2,2
