Value,Disaggregation combinations using this value,Number of indicators
Any tobacco product,19,1
Chewing tobacco,2,1
Cigarettes,19,1
Cigars,11,1
E-cigarettes,8,1
Little cigars or cigarillos,13,1
Pipe,5,1
Smokeless tobacco,5,1
Vaping,18,1
Water pipe w tobacco,6,1
