Value,en,fr,Disaggregation combinations using this value,Number of indicators
"Food insecure, marginal","Food insecure, marginal",Insécurité alimentaire marginale,547,1
"Food insecure, moderate or severe","Food insecure, moderate or severe",Insécurité alimentaire modérée ou grave,705,1
"Food insecure, moderate","Food insecure, moderate",Insécurité alimentaire modérée,648,1
"Food insecure, severe","Food insecure, severe",Insécurité alimentaire grave,571,1
Food insecure,Food insecure,Insécurité alimentaire,738,1
Food secure,Food secure,Sécurité alimentaire,769,1
