Value,Disaggregation combinations using this value,Number of indicators
Management occupations,10,1
Middle management occupations in retail and wholesale trade and customer services,11,1
"Middle management occupations in trades, transportation, production and utilities",11,1
Senior management occupations,11,1
Specialized middle management occupations,11,1
