Value,Disaggregation combinations using this value,Number of indicators
Alberta,120,1
Atlantic provinces,120,1
British Columbia,120,1
Canada,120,1
Manitoba,120,1
New Brunswick,120,1
Newfoundland and Labrador,120,1
Nova Scotia,120,1
Ontario,120,1
Prairie provinces,120,1
Prince Edward Island,120,1
Quebec,120,1
Saskatchewan,120,1
