Value,Disaggregation combinations using this value,Number of indicators
Hydraulic turbine,14,1
Other types of electricity generation,12,1
Solar,14,1
Tidal power turbine,6,1
"Total hydro, tidal, wind, solar and other generation",13,1
Wind power turbine,14,1
