Value,Disaggregation combinations using this value,Number of indicators
All persons,77,1
First Nations,56,1
Immigrants,69,1
Indigenous population,67,1
Métis,55,1
Non-Indigenous population,77,1
Persons born in Canada,77,1
Recent immigrants (10 years or less),62,1
Very recent immigrants (5 years or less),55,1
