Value,en,fr,Disaggregation combinations using this value,Number of indicators
Freshwater index,Freshwater index,Indice d'eau douce,49,1
Marine index,Marine index,Indice marin,49,1
Terrestrial index,Terrestrial index,Indice terrestre,48,1
