Indicator,Disaggregation combinations using this value
#1-a-2,5
#11-2-1,3
#15-a-1,1
#16-1-1,9
#17-1-2,1
#3-2-1,1
#3-4-2,3
#3-5-2,1
#3-7-2,1
#3-c-1,33
#4-5-1,5
#5-3-1,6
#5-5-1,2
#9-2-2,6
