Value,en,fr,Disaggregation combinations using this value,Number of indicators
Fourth decile,Fourth decile,Quatrième décile,14,1
Lowest decile,Lowest decile,Décile inférieur,14,1
Second decile,Second decile,Deuxième décile,14,1
Third decile,Third decile,Troisième décile,14,1
Total deciles,Total deciles,Total des déciles,14,1
