Value,Disaggregation combinations using this value,Number of indicators
Double,44,1
Duplex,44,1
High-rise apartment (5 stories or more),44,1
Low-rise apartment (fewer than 5 stories),44,1
Mobile home,44,1
Row or terrace,44,1
Single-detached,44,1
Total,43,1
