Value,Disaggregation combinations using this value,Number of indicators
30 to 34 years,21,1
35 to 44 years,21,1
45 to 54 years,21,1
55 to 64 years,21,1
65 to 74 years,21,1
75 to 84 years,21,1
85 and over,21,1
