Value,Disaggregation combinations using this value,Number of indicators
10.0,11,1
11.0,11,1
12.0,11,1
13.0,11,1
24.0,11,1
35.0,11,1
46.0,11,1
47.0,11,1
48.0,11,1
59.0,11,1
60.0,5,1
61.0,5,1
62.0,5,1
