Value,en,fr,Disaggregation combinations using this value,Number of indicators
102224355.46,102224355.46,102224355.46,1,1
1.0244,1.0244,1.0244,1,1
1.0257,1.0257,1.0257,1,1
102583.23,102583.23,102583.23,1,1
1.0266,1.0266,1.0266,2,1
1.0272,1.0272,1.0272,1,1
1.0277,1.0277,1.0277,2,1
102884682.46,102884682.46,102884682.46,1,1
1.0295,1.0295,1.0295,1,1
10.3,10.3,10.3,22,1
1.0308,1.0308,1.0308,1,1
103105810.4,103105810.4,103105810.4,1,1
1.0325,1.0325,1.0325,1,1
1.0327,1.0327,1.0327,1,1
1.0331,1.0331,1.0331,2,1
1.03462153850223,1.03462153850223,1.03462153850223,2,1
1.0348,1.0348,1.0348,1,1
1.0352,1.0352,1.0352,2,1
1.036,1.036,1.036,1,1
1.0361,1.0361,1.0361,1,1
1.0363,1.0363,1.0363,1,1
103636.69,103636.69,103636.69,1,1
1.03701465548778,1.03701465548778,1.03701465548778,1,1
1.0372,1.0372,1.0372,1,1
1.0379,1.0379,1.0379,1,1
1.03812229224546,1.03812229224546,1.03812229224546,2,1
1.0393,1.0393,1.0393,1,1
1.0394013095422,1.0394013095422,1.0394013095422,2,1
1.0396,1.0396,1.0396,1,1
103973644.64,103973644.64,103973644.64,1,1
1.0398,1.0398,1.0398,2,1
1.03999996185303,1.03999996185303,1.03999996185303,1,1
10.4,10.4,10.4,30,1
1.04166668994973,1.04166668994973,1.04166668994973,1,1
1.0417,1.0417,1.0417,2,1
1.0424,1.0424,1.0424,1,1
1.0431,1.0431,1.0431,1,1
1.0439,1.0439,1.0439,1,1
1.04467010447002,1.04467010447002,1.04467010447002,1,1
1.0453,1.0453,1.0453,2,1
1.04626405239105,1.04626405239105,1.04626405239105,1,1
1.04738215810589,1.04738215810589,1.04738215810589,1,1
1.04761056139202,1.04761056139202,1.04761056139202,1,1
1.0477,1.0477,1.0477,1,1
1.0479315221139,1.0479315221139,1.0479315221139,1,1
1.0484,1.0484,1.0484,1,1
1.0485,1.0485,1.0485,2,1
1.0488,1.0488,1.0488,1,1
1.04999995231628,1.04999995231628,1.04999995231628,2,1
10.5,10.5,10.5,30,1
1.0503,1.0503,1.0503,2,1
1.051,1.051,1.051,1,1
1.05109839736279,1.05109839736279,1.05109839736279,1,1
105173.34,105173.34,105173.34,1,1
1.0526,1.0526,1.0526,1,1
1.05263159215615,1.05263159215615,1.05263159215615,1,1
1.0527,1.0527,1.0527,2,1
1.0536,1.0536,1.0536,1,1
1.0537,1.0537,1.0537,1,1
1.0537537967927,1.0537537967927,1.0537537967927,1,1
1.0551,1.0551,1.0551,1,1
1.0558,1.0558,1.0558,1,1
1.0559,1.0559,1.0559,2,1
1.0567,1.0567,1.0567,2,1
1.0568,1.0568,1.0568,1,1
1.0573,1.0573,1.0573,1,1
1.0579,1.0579,1.0579,1,1
1.05873429083701,1.05873429083701,1.05873429083701,1,1
1.0594,1.0594,1.0594,1,1
1.05999994277954,1.05999994277954,1.05999994277954,1,1
10.6,10.6,10.6,28,1
106060584.73,106060584.73,106060584.73,1,1
1.0608,1.0608,1.0608,1,1
1.063,1.063,1.063,2,1
1.0634,1.0634,1.0634,2,1
1.06382978993231,1.06382978993231,1.06382978993231,2,1
106385473.59,106385473.59,106385473.59,1,1
1.0641742673454,1.0641742673454,1.0641742673454,1,1
1.065,1.065,1.065,2,1
1.0652,1.0652,1.0652,2,1
1.0658,1.0658,1.0658,2,1
106649945.13,106649945.13,106649945.13,1,1
1.0667,1.0667,1.0667,1,1
1.0674,1.0674,1.0674,1,1
1.0685693025589,1.0685693025589,1.0685693025589,1,1
1.0691774762719,1.0691774762719,1.0691774762719,1,1
1.0695,1.0695,1.0695,2,1
1.0696,1.0696,1.0696,2,1
10.7,10.7,10.7,25,1
1.07000005245209,1.07000005245209,1.07000005245209,2,1
1.0707,1.0707,1.0707,2,1
1.0711,1.0711,1.0711,1,1
1.0715,1.0715,1.0715,2,1
107192982.46,107192982.46,107192982.46,1,1
1.0723,1.0723,1.0723,2,1
1.0725,1.0725,1.0725,2,1
1.07280941798766,1.07280941798766,1.07280941798766,1,1
1.07348994837667,1.07348994837667,1.07348994837667,1,1
1.07526880893449,1.07526880893449,1.07526880893449,1,1
1.0756,1.0756,1.0756,1,1
107677710.84,107677710.84,107677710.84,1,1
1.077,1.077,1.077,1,1
10.8,10.8,10.8,34,1
1.0801,1.0801,1.0801,2,1
1.0803,1.0803,1.0803,2,1
1.0806,1.0806,1.0806,2,1
1.0811,1.0811,1.0811,2,1
1.08117420410113,1.08117420410113,1.08117420410113,1,1
108177115.99,108177115.99,108177115.99,1,1
1.08243952046465,1.08243952046465,1.08243952046465,1,1
1.0825,1.0825,1.0825,1,1
108307893.59,108307893.59,108307893.59,1,1
1.08336304169038,1.08336304169038,1.08336304169038,1,1
1.0836,1.0836,1.0836,1,1
1.0847,1.0847,1.0847,1,1
1.08587451805117,1.08587451805117,1.08587451805117,1,1
1.0859,1.0859,1.0859,1,1
1.08732443731021,1.08732443731021,1.08732443731021,1,1
1.0878,1.0878,1.0878,1,1
1.0883,1.0883,1.0883,1,1
1.0885,1.0885,1.0885,2,1
1.0889,1.0889,1.0889,1,1
1.0897,1.0897,1.0897,2,1
10.9,10.9,10.9,24,1
1.09063853591857,1.09063853591857,1.09063853591857,1,1
1.09091019630432,1.09091019630432,1.09091019630432,1,1
1.09096818796728,1.09096818796728,1.09096818796728,1,1
1.0911,1.0911,1.0911,1,1
1.0923,1.0923,1.0923,1,1
1.0929,1.0929,1.0929,1,1
1.0931,1.0931,1.0931,1,1
1.09367270254666,1.09367270254666,1.09367270254666,1,1
1.0942,1.0942,1.0942,1,1
1.0955,1.0955,1.0955,1,1
1.0964527462203,1.0964527462203,1.0964527462203,1,1
1.097,1.097,1.097,2,1
109.7,109.7,109.7,1,1
109872071.52,109872071.52,109872071.52,1,1
1.09890106723096,1.09890106723096,1.09890106723096,1,1
109.9,109.9,109.9,1,1
1.0993,1.0993,1.0993,1,1
1.0996,1.0996,1.0996,1,1
