Year,Géographie,Level of government,Type de patrimoine,Value
2015,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6.72055955253216e-05
2015,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0001295958368541
2015,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.81913529637877e-05
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0014062085433802
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0003714513133457
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.30644733351022e-05
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0003164771571309
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0002260551122363
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",2.26055112236363e-05
2015,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0002712661346836
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0001644376233282
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0005755316816487
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2015,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0003562815172111
2016,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,4.51958788558807e-05
2016,Canada,Administration publique générale canadienne consolidée,Services culturels,0.0001600410440613
2016,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",9.4185774502972e-05
2016,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5.2950073757625e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,3.67770386768441e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001034631148318
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",3.61954740592133e-05
2016,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.01807184355735e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.51107048010487e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.31088764057678e-05
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",3.77767620026217e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.36083119569433e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.84540277201315e-05
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.80415597847165e-06
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.33349950678306e-05
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001113715673691
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.01579354893455e-05
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.44101657169057e-05
2016,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,7.8600903910395e-05
