Year,Units,Type de catastrophe naturelle,Value
2015,Pour cent (%),,0.024
2016,Pour cent (%),,0.2503
2017,Pour cent (%),,0.025
2018,Pour cent (%),,0.064
2019,Pour cent (%),,0.007
2020,Pour cent (%),,0.0
2015,Pour cent (%),Météorologique - Inondation,0.019
2015,Pour cent (%),Météorologique - Tempête,0.006
2016,Pour cent (%),Météorologique - Inondation,0.0275
2016,Pour cent (%),Météorologique - Tempête,0.0197
2016,Pour cent (%),Météorologique - Feu de forêt,0.2009
2016,Pour cent (%),Météorologique - Tempête hivernale,0.0014
2016,Pour cent (%),Météorologique - Épidémie,0.0008
2017,Pour cent (%),Météorologique - Inondation,0.014
2017,Pour cent (%),Météorologique - Tempête,0.002
2017,Pour cent (%),Météorologique - Feu de forêt,0.006
2017,Pour cent (%),Météorologique - Tempête hivernale,0.003
2018,Pour cent (%),Météorologique - Inondation,0.004
2018,Pour cent (%),Météorologique - Tornade,0.015
2018,Pour cent (%),Météorologique - Tempête,0.037
2018,Pour cent (%),Météorologique - Feu de forêt,0.0
2018,Pour cent (%),Météorologique - Tempête hivernale,0.008
2019,Pour cent (%),Météorologique - Inondation,0.0
2019,Pour cent (%),Météorologique - Tempête,0.0
2019,Pour cent (%),Météorologique - Feu de forêt,0.0
2019,Pour cent (%),Météorologique - Tempête hivernale,0.007
2020,Pour cent (%),Météorologique - Inondation,0.0
2020,Pour cent (%),Météorologique - Tempête,0.0
2020,Pour cent (%),Météorologique - Feu de forêt,0.0
2020,Pour cent (%),Météorologique - Tempête hivernale,0.0
