Year,Series,Value
2015,Official development assistance on conservation and sustainable use of biodiversity,0.571472
2016,Official development assistance on conservation and sustainable use of biodiversity,1.837368
2017,Official development assistance on conservation and sustainable use of biodiversity,0.031489
2018,Official development assistance on conservation and sustainable use of biodiversity,0.652555
2019,Official development assistance on conservation and sustainable use of biodiversity,1.969301
2020,Official development assistance on conservation and sustainable use of biodiversity,4.048177
2021,Official development assistance on conservation and sustainable use of biodiversity,5.914369
2022,Official development assistance on conservation and sustainable use of biodiversity,6.113084
2023,Official development assistance on conservation and sustainable use of biodiversity,35.680816
