Year,Size,Value
2001,Small-scale food producers,"-7,010"
2006,Small-scale food producers,"-6,863"
2011,Small-scale food producers,"-6,293"
2016,Small-scale food producers,"-3,609"
2001,Medium-Large scale food producers," 40,446 "
2006,Medium-Large scale food producers," 48,246 "
2011,Medium-Large scale food producers," 79,630 "
2016,Medium-Large scale food producers," 111,951 "
2001,," 22,321 "
2006,," 27,127 "
2011,," 46,717 "
2016,," 67,253 "
