Year,Value,Series
2015,1995.2,"Rate per 100,000 population"
2016,4845.27,"Rate per 100,000 population"
2017,920.81,"Rate per 100,000 population"
2018,5815.99,"Rate per 100,000 population"
2019,34.55,"Rate per 100,000 population"
2020,1330.34,"Rate per 100,000 population"
