Year,Value,Units
2015,199.167569,"US dollar, Millions, 2024 constant prices"
2016,211.52513,"US dollar, Millions, 2024 constant prices"
2017,174.589756,"US dollar, Millions, 2024 constant prices"
2018,228.236425,"US dollar, Millions, 2024 constant prices"
2019,162.117336,"US dollar, Millions, 2024 constant prices"
2020,252.119001,"US dollar, Millions, 2024 constant prices"
2021,255.044093,"US dollar, Millions, 2024 constant prices"
2022,251.656493,"US dollar, Millions, 2024 constant prices"
2023,154.282978,"US dollar, Millions, 2024 constant prices"
2024,166.54202,"US dollar, Millions, 2024 constant prices"
