Year,Value,GeoCode
2014,1.48,
2015,1.72,
2016,1.72,
2017,1.83,
2018,1.8,
2019,1.84,
2020,2.02,
2021,2.1,
2022,2.28,
2023,1.99,
2024,1.93,
2025,1.61,
