Year,Value,Series
2015,5.588329168,"Rate per 100,000 population"
2016,13.41827318,"Rate per 100,000 population"
2017,2.519635529,"Rate per 100,000 population"
2018,15.69127899,"Rate per 100,000 population"
2019,0.091890774,"Rate per 100,000 population"
2020,3.500244828,"Rate per 100,000 population"
2015,1995.2,Number
2016,4845.27,Number
2017,920.81,Number
2018,5815.99,Number
2019,34.55,Number
2020,1330.34,Number
