Year,Value,Units
2015,7.611514,"US dollar, Millions, 2024 constant prices"
2016,4.983644,"US dollar, Millions, 2024 constant prices"
2017,6.897621,"US dollar, Millions, 2024 constant prices"
2018,9.38466,"US dollar, Millions, 2024 constant prices"
2019,6.564332,"US dollar, Millions, 2024 constant prices"
2020,3.075683,"US dollar, Millions, 2024 constant prices"
2021,5.475397,"US dollar, Millions, 2024 constant prices"
2022,2.875986,"US dollar, Millions, 2024 constant prices"
2023,3.225222,"US dollar, Millions, 2024 constant prices"
2024,4.724331,"US dollar, Millions, 2024 constant prices"
