Year,Value,Series
2015,0.571472,Official development assistance on conservation and sustainable use of biodiversity
2016,1.837368,Official development assistance on conservation and sustainable use of biodiversity
2017,0.031489,Official development assistance on conservation and sustainable use of biodiversity
2018,0.652555,Official development assistance on conservation and sustainable use of biodiversity
2019,1.969301,Official development assistance on conservation and sustainable use of biodiversity
2020,4.048177,Official development assistance on conservation and sustainable use of biodiversity
2021,5.914369,Official development assistance on conservation and sustainable use of biodiversity
2022,6.113084,Official development assistance on conservation and sustainable use of biodiversity
2023,35.680816,Official development assistance on conservation and sustainable use of biodiversity
