Year,Value,Units,Series
2000,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2001,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2002,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2003,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2004,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2005,,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2006,30.18,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2007,30.78,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2008,32.17,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2009,32.2,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2010,31.79,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2011,33.75,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2012,35.25,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2013,37.1,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2014,39.35,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2015,40.5,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2016,40.22,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2017,40.77,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2018,42.16,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2019,43.2,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2020,41.24,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2021,43.11,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2022,44.85,USD per cubic metre,Water-use efficiency (USD per cubic metre)
2023,45.43,USD per cubic metre,Water-use efficiency (USD per cubic metre)
