Year,Series,Units,Value
2018,Aide publique au développement (APD),Pour cent (%),0.28
2019,Aide publique au développement (APD),Pour cent (%),0.27
2020,Aide publique au développement (APD),Pour cent (%),0.31
2021,Aide publique au développement (APD),Pour cent (%),0.32
2022,Aide publique au développement (APD),Pour cent (%),0.37
