Year,Géographie,GeoCode,Type de matières récupérées,Sources des matières préparées en vue du recyclage,Value
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Matières organiques,Toutes les sources des matières récupérées,4575.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",,Matières organiques,Sources des matières résidentielles récupérées,1950.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Matières organiques,Sources des matières résidentielles récupérées,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",,Matières organiques,Sources des matières non résidentielles récupérées,2651.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Matières organiques,Sources des matières non résidentielles récupérées,
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Toutes les sources des matières récupérées,297.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Toutes les sources des matières récupérées,100.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Sources des matières résidentielles récupérées,297.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Sources des matières résidentielles récupérées,70.0
2018,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Sources des matières non résidentielles récupérées,0.0
2020,"Yukon, Territoires du Nord-Ouest et Nunavut",,Autres matières,Sources des matières non résidentielles récupérées,30.0
