Year,Series,Value
2015,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,0.571472
2016,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,1.837368
2017,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,0.031489
2018,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,0.652555
2019,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,1.969301
2020,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,4.048177
2021,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,5.914369
2022,Aide publique au développement consacrée à la préservation et à l’exploitation durable de la biodiversité,6.113084
