Year,Value,Units
2015,0.74,Indice
2016,-1.22,Indice
2017,-1.09,Indice
2018,-0.64,Indice
2019,0.49,Indice
2020,0.33,Indice
2021,-0.48,Indice
2022,1.08,Indice
