Year,Value,Units,Series
2000,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2001,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2002,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2003,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2004,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2005,,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2006,30.18,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2007,30.78,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2008,32.17,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2009,32.2,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2010,31.79,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2011,33.75,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2012,35.25,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2013,37.1,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2014,39.35,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2015,40.5,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2016,40.22,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2017,40.77,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2018,42.16,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2019,43.2,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2020,41.24,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2021,43.11,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2022,44.85,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
2023,45.43,Dollars américains par mètre cube,Efficacité de l'utilisation des ressources en eau (USD par mètre cube)
