Year,Value,Units
2015,0.571817,"Dollar américain, millions, prix constants de 2024"
2016,1.839163,"Dollar américain, millions, prix constants de 2024"
2017,0.03152,"Dollar américain, millions, prix constants de 2024"
2018,0.652937,"Dollar américain, millions, prix constants de 2024"
2019,1.97085,"Dollar américain, millions, prix constants de 2024"
2020,4.033104,"Dollar américain, millions, prix constants de 2024"
2021,5.912476,"Dollar américain, millions, prix constants de 2024"
2022,6.069935,"Dollar américain, millions, prix constants de 2024"
2023,35.392284,"Dollar américain, millions, prix constants de 2024"
2024,42.116327,"Dollar américain, millions, prix constants de 2024"
