Year,Value,Units
2015,125.239385,"Dollar américain, millions, prix constants de 2024"
2016,119.715933,"Dollar américain, millions, prix constants de 2024"
2017,265.18351,"Dollar américain, millions, prix constants de 2024"
2018,376.205455,"Dollar américain, millions, prix constants de 2024"
2019,229.779927,"Dollar américain, millions, prix constants de 2024"
2020,360.11918,"Dollar américain, millions, prix constants de 2024"
2021,535.528142,"Dollar américain, millions, prix constants de 2024"
2022,525.081928,"Dollar américain, millions, prix constants de 2024"
2023,395.520972,"Dollar américain, millions, prix constants de 2024"
2024,416.800494,"Dollar américain, millions, prix constants de 2024"
