Year,Value,Units
2015,199.167569,"Dollar américain, millions, prix constants de 2024"
2016,211.52513,"Dollar américain, millions, prix constants de 2024"
2017,174.589756,"Dollar américain, millions, prix constants de 2024"
2018,228.236425,"Dollar américain, millions, prix constants de 2024"
2019,162.117336,"Dollar américain, millions, prix constants de 2024"
2020,252.119001,"Dollar américain, millions, prix constants de 2024"
2021,255.044093,"Dollar américain, millions, prix constants de 2024"
2022,251.656493,"Dollar américain, millions, prix constants de 2024"
2023,154.282978,"Dollar américain, millions, prix constants de 2024"
2024,166.54202,"Dollar américain, millions, prix constants de 2024"
