Year,Value,Series
2015,5.588329168,Taux pour 100 000 habitants
2016,13.41827318,Taux pour 100 000 habitants
2017,2.519635529,Taux pour 100 000 habitants
2018,15.69127899,Taux pour 100 000 habitants
2019,0.091890774,Taux pour 100 000 habitants
2020,3.500244828,Taux pour 100 000 habitants
2015,1995.2,Nombre
2016,4845.27,Nombre
2017,920.81,Nombre
2018,5815.99,Nombre
2019,34.55,Nombre
2020,1330.34,Nombre
