Year,Value,Units
2015,386.81,Economic loss/GDP
2016,195.38,Economic loss/GDP
2017,582.42,Economic loss/GDP
2018,167.5,Economic loss/GDP
2019,101.87,Economic loss/GDP
2020,1855.03,Economic loss/GDP
