Year,Value,Units
2015,0.024,Pour cent (%)
2016,0.2503,Pour cent (%)
2017,0.025,Pour cent (%)
2018,0.064,Pour cent (%)
2019,0.007,Pour cent (%)
2020,0.0,Pour cent (%)
