Year,Value,Units
2015,85.617755,"Dollar américain, millions, prix constants de 2024"
2016,51.028976,"Dollar américain, millions, prix constants de 2024"
2017,57.70478,"Dollar américain, millions, prix constants de 2024"
2018,59.373456,"Dollar américain, millions, prix constants de 2024"
2019,46.835967,"Dollar américain, millions, prix constants de 2024"
2020,45.385495,"Dollar américain, millions, prix constants de 2024"
2021,69.008685,"Dollar américain, millions, prix constants de 2024"
2022,41.717565,"Dollar américain, millions, prix constants de 2024"
2023,32.473786,"Dollar américain, millions, prix constants de 2024"
2024,33.794082,"Dollar américain, millions, prix constants de 2024"
