Year,Units,Value
2015,Indice,0.74
2016,Indice,-1.22
2017,Indice,-1.09
2018,Indice,-0.64
2019,Indice,0.49
2020,Indice,0.33
2021,Indice,-0.48
2022,Indice,1.08
