Year,Geography,GeoCode,Type of materials diverted,Sources of materials prepared for recycling,Value
2018,Manitoba,46,Mixed metals,Residential sources of diverted materials,3287.0
2020,Manitoba,46,Mixed metals,Residential sources of diverted materials,
2018,Manitoba,46,Mixed metals,Non-residential sources of diverted materials,912.0
2020,Manitoba,46,Mixed metals,Non-residential sources of diverted materials,
2018,Manitoba,46,White goods,All sources of diverted materials,2973.0
2020,Manitoba,46,White goods,All sources of diverted materials,3125.0
2018,Manitoba,46,White goods,Residential sources of diverted materials,1824.0
2020,Manitoba,46,White goods,Residential sources of diverted materials,
2018,Manitoba,46,White goods,Non-residential sources of diverted materials,1149.0
2020,Manitoba,46,White goods,Non-residential sources of diverted materials,
2018,Manitoba,46,Electronics,All sources of diverted materials,3024.0
2020,Manitoba,46,Electronics,All sources of diverted materials,2784.0
2018,Manitoba,46,Electronics,Residential sources of diverted materials,
2020,Manitoba,46,Electronics,Residential sources of diverted materials,
2018,Manitoba,46,Electronics,Non-residential sources of diverted materials,
2020,Manitoba,46,Electronics,Non-residential sources of diverted materials,
2018,Manitoba,46,Plastics,All sources of diverted materials,6788.0
2020,Manitoba,46,Plastics,All sources of diverted materials,7985.0
2018,Manitoba,46,Plastics,Residential sources of diverted materials,5735.0
2020,Manitoba,46,Plastics,Residential sources of diverted materials,5784.0
2018,Manitoba,46,Plastics,Non-residential sources of diverted materials,1053.0
2020,Manitoba,46,Plastics,Non-residential sources of diverted materials,2201.0
2018,Manitoba,46,Gable top and aseptic containers,All sources of diverted materials,
2020,Manitoba,46,Gable top and aseptic containers,All sources of diverted materials,1378.0
2018,Manitoba,46,Gable top and aseptic containers,Residential sources of diverted materials,
2020,Manitoba,46,Gable top and aseptic containers,Residential sources of diverted materials,
2018,Manitoba,46,Gable top and aseptic containers,Non-residential sources of diverted materials,
2020,Manitoba,46,Gable top and aseptic containers,Non-residential sources of diverted materials,
2018,Manitoba,46,Textiles,All sources of diverted materials,
2020,Manitoba,46,Textiles,All sources of diverted materials,0.0
2018,Manitoba,46,Textiles,Residential sources of diverted materials,
2020,Manitoba,46,Textiles,Residential sources of diverted materials,0.0
2018,Manitoba,46,Textiles,Non-residential sources of diverted materials,
2020,Manitoba,46,Textiles,Non-residential sources of diverted materials,0.0
2018,Manitoba,46,Tires,All sources of diverted materials,16005.0
2020,Manitoba,46,Tires,All sources of diverted materials,17798.0
2018,Manitoba,46,Tires,Residential sources of diverted materials,
2020,Manitoba,46,Tires,Residential sources of diverted materials,
2018,Manitoba,46,Tires,Non-residential sources of diverted materials,
2020,Manitoba,46,Tires,Non-residential sources of diverted materials,
2018,Manitoba,46,"Construction, renovation and demolition",All sources of diverted materials,3996.0
2020,Manitoba,46,"Construction, renovation and demolition",All sources of diverted materials,2090.0
2018,Manitoba,46,"Construction, renovation and demolition",Residential sources of diverted materials,2584.0
2020,Manitoba,46,"Construction, renovation and demolition",Residential sources of diverted materials,
2018,Manitoba,46,"Construction, renovation and demolition",Non-residential sources of diverted materials,1412.0
2020,Manitoba,46,"Construction, renovation and demolition",Non-residential sources of diverted materials,
2018,Manitoba,46,Organics,All sources of diverted materials,56272.0
2020,Manitoba,46,Organics,All sources of diverted materials,56814.0
2018,Manitoba,46,Organics,Residential sources of diverted materials,43193.0
2020,Manitoba,46,Organics,Residential sources of diverted materials,35967.0
2018,Manitoba,46,Organics,Non-residential sources of diverted materials,13079.0
2020,Manitoba,46,Organics,Non-residential sources of diverted materials,20847.0
2018,Manitoba,46,Other materials,All sources of diverted materials,6232.0
2020,Manitoba,46,Other materials,All sources of diverted materials,6512.0
2018,Manitoba,46,Other materials,Residential sources of diverted materials,3520.0
2020,Manitoba,46,Other materials,Residential sources of diverted materials,4211.0
2018,Manitoba,46,Other materials,Non-residential sources of diverted materials,2712.0
2020,Manitoba,46,Other materials,Non-residential sources of diverted materials,2301.0
2018,Saskatchewan,47,All materials diverted,All sources of diverted materials,194702.0
2020,Saskatchewan,47,All materials diverted,All sources of diverted materials,202459.0
2018,Saskatchewan,47,All materials diverted,Residential sources of diverted materials,
2020,Saskatchewan,47,All materials diverted,Residential sources of diverted materials,
2018,Saskatchewan,47,All materials diverted,Non-residential sources of diverted materials,
2020,Saskatchewan,47,All materials diverted,Non-residential sources of diverted materials,
2018,Saskatchewan,47,All paper fibres,All sources of diverted materials,57379.0
2020,Saskatchewan,47,All paper fibres,All sources of diverted materials,47817.0
2018,Saskatchewan,47,All paper fibres,Residential sources of diverted materials,37807.0
2020,Saskatchewan,47,All paper fibres,Residential sources of diverted materials,35214.0
2018,Saskatchewan,47,All paper fibres,Non-residential sources of diverted materials,19572.0
2020,Saskatchewan,47,All paper fibres,Non-residential sources of diverted materials,12603.0
2018,Saskatchewan,47,Glass,All sources of diverted materials,
2020,Saskatchewan,47,Glass,All sources of diverted materials,
2018,Saskatchewan,47,Glass,Residential sources of diverted materials,
2020,Saskatchewan,47,Glass,Residential sources of diverted materials,
2018,Saskatchewan,47,Glass,Non-residential sources of diverted materials,
2020,Saskatchewan,47,Glass,Non-residential sources of diverted materials,
2018,Saskatchewan,47,Ferrous metals,All sources of diverted materials,
2020,Saskatchewan,47,Ferrous metals,All sources of diverted materials,36685.0
2018,Saskatchewan,47,Ferrous metals,Residential sources of diverted materials,
2020,Saskatchewan,47,Ferrous metals,Residential sources of diverted materials,4396.0
2018,Saskatchewan,47,Ferrous metals,Non-residential sources of diverted materials,
2020,Saskatchewan,47,Ferrous metals,Non-residential sources of diverted materials,32289.0
2018,Saskatchewan,47,Copper and aluminum,All sources of diverted materials,7673.0
2020,Saskatchewan,47,Copper and aluminum,All sources of diverted materials,7093.0
2018,Saskatchewan,47,Copper and aluminum,Residential sources of diverted materials,6778.0
2020,Saskatchewan,47,Copper and aluminum,Residential sources of diverted materials,
2018,Saskatchewan,47,Copper and aluminum,Non-residential sources of diverted materials,895.0
2020,Saskatchewan,47,Copper and aluminum,Non-residential sources of diverted materials,
2018,Saskatchewan,47,Mixed metals,All sources of diverted materials,1621.0
2020,Saskatchewan,47,Mixed metals,All sources of diverted materials,1447.0
2018,Saskatchewan,47,Mixed metals,Residential sources of diverted materials,990.0
2020,Saskatchewan,47,Mixed metals,Residential sources of diverted materials,1067.0
2018,Saskatchewan,47,Mixed metals,Non-residential sources of diverted materials,631.0
2020,Saskatchewan,47,Mixed metals,Non-residential sources of diverted materials,380.0
2018,Saskatchewan,47,White goods,All sources of diverted materials,1855.0
2020,Saskatchewan,47,White goods,All sources of diverted materials,1453.0
2018,Saskatchewan,47,White goods,Residential sources of diverted materials,999.0
2020,Saskatchewan,47,White goods,Residential sources of diverted materials,
2018,Saskatchewan,47,White goods,Non-residential sources of diverted materials,856.0
2020,Saskatchewan,47,White goods,Non-residential sources of diverted materials,
2018,Saskatchewan,47,Electronics,All sources of diverted materials,2344.0
2020,Saskatchewan,47,Electronics,All sources of diverted materials,1708.0
2018,Saskatchewan,47,Electronics,Residential sources of diverted materials,
2020,Saskatchewan,47,Electronics,Residential sources of diverted materials,
2018,Saskatchewan,47,Electronics,Non-residential sources of diverted materials,
2020,Saskatchewan,47,Electronics,Non-residential sources of diverted materials,
2018,Saskatchewan,47,Plastics,All sources of diverted materials,10773.0
2020,Saskatchewan,47,Plastics,All sources of diverted materials,6674.0
2018,Saskatchewan,47,Plastics,Residential sources of diverted materials,9913.0
2020,Saskatchewan,47,Plastics,Residential sources of diverted materials,6270.0
2018,Saskatchewan,47,Plastics,Non-residential sources of diverted materials,860.0
2020,Saskatchewan,47,Plastics,Non-residential sources of diverted materials,405.0
2018,Saskatchewan,47,Gable top and aseptic containers,All sources of diverted materials,1886.0
2020,Saskatchewan,47,Gable top and aseptic containers,All sources of diverted materials,
2018,Saskatchewan,47,Gable top and aseptic containers,Residential sources of diverted materials,
2020,Saskatchewan,47,Gable top and aseptic containers,Residential sources of diverted materials,
2018,Saskatchewan,47,Gable top and aseptic containers,Non-residential sources of diverted materials,
2020,Saskatchewan,47,Gable top and aseptic containers,Non-residential sources of diverted materials,
2018,Saskatchewan,47,Textiles,All sources of diverted materials,0.0
2020,Saskatchewan,47,Textiles,All sources of diverted materials,0.0
2018,Saskatchewan,47,Textiles,Residential sources of diverted materials,0.0
2020,Saskatchewan,47,Textiles,Residential sources of diverted materials,0.0
2018,Saskatchewan,47,Textiles,Non-residential sources of diverted materials,0.0
2020,Saskatchewan,47,Textiles,Non-residential sources of diverted materials,0.0
2018,Saskatchewan,47,Tires,All sources of diverted materials,17057.0
2020,Saskatchewan,47,Tires,All sources of diverted materials,43290.0
2018,Saskatchewan,47,Tires,Residential sources of diverted materials,
2020,Saskatchewan,47,Tires,Residential sources of diverted materials,
2018,Saskatchewan,47,Tires,Non-residential sources of diverted materials,
2020,Saskatchewan,47,Tires,Non-residential sources of diverted materials,
2018,Saskatchewan,47,"Construction, renovation and demolition",All sources of diverted materials,3987.0
2020,Saskatchewan,47,"Construction, renovation and demolition",All sources of diverted materials,
2018,Saskatchewan,47,"Construction, renovation and demolition",Residential sources of diverted materials,
2020,Saskatchewan,47,"Construction, renovation and demolition",Residential sources of diverted materials,
2018,Saskatchewan,47,"Construction, renovation and demolition",Non-residential sources of diverted materials,
2020,Saskatchewan,47,"Construction, renovation and demolition",Non-residential sources of diverted materials,
2018,Saskatchewan,47,Organics,All sources of diverted materials,33058.0
2020,Saskatchewan,47,Organics,All sources of diverted materials,40551.0
2018,Saskatchewan,47,Organics,Residential sources of diverted materials,24805.0
2020,Saskatchewan,47,Organics,Residential sources of diverted materials,34771.0
2018,Saskatchewan,47,Organics,Non-residential sources of diverted materials,8253.0
2020,Saskatchewan,47,Organics,Non-residential sources of diverted materials,5780.0
2018,Saskatchewan,47,Other materials,All sources of diverted materials,1349.0
2020,Saskatchewan,47,Other materials,All sources of diverted materials,
2018,Saskatchewan,47,Other materials,Residential sources of diverted materials,838.0
2020,Saskatchewan,47,Other materials,Residential sources of diverted materials,
2018,Saskatchewan,47,Other materials,Non-residential sources of diverted materials,511.0
2020,Saskatchewan,47,Other materials,Non-residential sources of diverted materials,
2018,Alberta,48,All materials diverted,All sources of diverted materials,930862.0
2020,Alberta,48,All materials diverted,All sources of diverted materials,948394.0
2018,Alberta,48,All materials diverted,Residential sources of diverted materials,
2020,Alberta,48,All materials diverted,Residential sources of diverted materials,
2018,Alberta,48,All materials diverted,Non-residential sources of diverted materials,
2020,Alberta,48,All materials diverted,Non-residential sources of diverted materials,
2018,Alberta,48,All paper fibres,All sources of diverted materials,254955.0
2020,Alberta,48,All paper fibres,All sources of diverted materials,269325.0
2018,Alberta,48,All paper fibres,Residential sources of diverted materials,140097.0
2020,Alberta,48,All paper fibres,Residential sources of diverted materials,49336.0
2018,Alberta,48,All paper fibres,Non-residential sources of diverted materials,114858.0
2020,Alberta,48,All paper fibres,Non-residential sources of diverted materials,219989.0
2018,Alberta,48,Glass,All sources of diverted materials,68952.0
2020,Alberta,48,Glass,All sources of diverted materials,63473.0
2018,Alberta,48,Glass,Residential sources of diverted materials,63136.0
2020,Alberta,48,Glass,Residential sources of diverted materials,49526.0
2018,Alberta,48,Glass,Non-residential sources of diverted materials,5816.0
2020,Alberta,48,Glass,Non-residential sources of diverted materials,13947.0
2018,Alberta,48,Ferrous metals,All sources of diverted materials,40108.0
2020,Alberta,48,Ferrous metals,All sources of diverted materials,54760.0
2018,Alberta,48,Ferrous metals,Residential sources of diverted materials,5535.0
2020,Alberta,48,Ferrous metals,Residential sources of diverted materials,2727.0
2018,Alberta,48,Ferrous metals,Non-residential sources of diverted materials,34573.0
2020,Alberta,48,Ferrous metals,Non-residential sources of diverted materials,52034.0
2018,Alberta,48,Copper and aluminum,All sources of diverted materials,17439.0
2020,Alberta,48,Copper and aluminum,All sources of diverted materials,19866.0
2018,Alberta,48,Copper and aluminum,Residential sources of diverted materials,12945.0
2020,Alberta,48,Copper and aluminum,Residential sources of diverted materials,15591.0
2018,Alberta,48,Copper and aluminum,Non-residential sources of diverted materials,4494.0
2020,Alberta,48,Copper and aluminum,Non-residential sources of diverted materials,4275.0
2018,Alberta,48,Mixed metals,All sources of diverted materials,13180.0
2020,Alberta,48,Mixed metals,All sources of diverted materials,19036.0
2018,Alberta,48,Mixed metals,Residential sources of diverted materials,6397.0
2020,Alberta,48,Mixed metals,Residential sources of diverted materials,6290.0
2018,Alberta,48,Mixed metals,Non-residential sources of diverted materials,6783.0
2020,Alberta,48,Mixed metals,Non-residential sources of diverted materials,12745.0
2018,Alberta,48,White goods,All sources of diverted materials,13842.0
2020,Alberta,48,White goods,All sources of diverted materials,14557.0
2018,Alberta,48,White goods,Residential sources of diverted materials,9866.0
2020,Alberta,48,White goods,Residential sources of diverted materials,10900.0
2018,Alberta,48,White goods,Non-residential sources of diverted materials,3976.0
2020,Alberta,48,White goods,Non-residential sources of diverted materials,3656.0
2018,Alberta,48,Electronics,All sources of diverted materials,10111.0
2020,Alberta,48,Electronics,All sources of diverted materials,8600.0
2018,Alberta,48,Electronics,Residential sources of diverted materials,
2020,Alberta,48,Electronics,Residential sources of diverted materials,
2018,Alberta,48,Electronics,Non-residential sources of diverted materials,
2020,Alberta,48,Electronics,Non-residential sources of diverted materials,
2018,Alberta,48,Plastics,All sources of diverted materials,37086.0
2020,Alberta,48,Plastics,All sources of diverted materials,39461.0
2018,Alberta,48,Plastics,Residential sources of diverted materials,30266.0
2020,Alberta,48,Plastics,Residential sources of diverted materials,25969.0
2018,Alberta,48,Plastics,Non-residential sources of diverted materials,6820.0
2020,Alberta,48,Plastics,Non-residential sources of diverted materials,13492.0
2018,Alberta,48,Gable top and aseptic containers,All sources of diverted materials,
2020,Alberta,48,Gable top and aseptic containers,All sources of diverted materials,
2018,Alberta,48,Gable top and aseptic containers,Residential sources of diverted materials,
2020,Alberta,48,Gable top and aseptic containers,Residential sources of diverted materials,
2018,Alberta,48,Gable top and aseptic containers,Non-residential sources of diverted materials,
2020,Alberta,48,Gable top and aseptic containers,Non-residential sources of diverted materials,
2018,Alberta,48,Textiles,All sources of diverted materials,
2020,Alberta,48,Textiles,All sources of diverted materials,
2018,Alberta,48,Textiles,Residential sources of diverted materials,
2020,Alberta,48,Textiles,Residential sources of diverted materials,
2018,Alberta,48,Textiles,Non-residential sources of diverted materials,
2020,Alberta,48,Textiles,Non-residential sources of diverted materials,
2018,Alberta,48,Tires,All sources of diverted materials,67611.0
2020,Alberta,48,Tires,All sources of diverted materials,66461.0
2018,Alberta,48,Tires,Residential sources of diverted materials,
2020,Alberta,48,Tires,Residential sources of diverted materials,
2018,Alberta,48,Tires,Non-residential sources of diverted materials,
2020,Alberta,48,Tires,Non-residential sources of diverted materials,
2018,Alberta,48,"Construction, renovation and demolition",All sources of diverted materials,71041.0
2020,Alberta,48,"Construction, renovation and demolition",All sources of diverted materials,71884.0
2018,Alberta,48,"Construction, renovation and demolition",Residential sources of diverted materials,12408.0
2020,Alberta,48,"Construction, renovation and demolition",Residential sources of diverted materials,10818.0
2018,Alberta,48,"Construction, renovation and demolition",Non-residential sources of diverted materials,58633.0
2020,Alberta,48,"Construction, renovation and demolition",Non-residential sources of diverted materials,61066.0
2018,Alberta,48,Organics,All sources of diverted materials,322218.0
2020,Alberta,48,Organics,All sources of diverted materials,310623.0
2018,Alberta,48,Organics,Residential sources of diverted materials,238548.0
2020,Alberta,48,Organics,Residential sources of diverted materials,227712.0
2018,Alberta,48,Organics,Non-residential sources of diverted materials,83671.0
2020,Alberta,48,Organics,Non-residential sources of diverted materials,82911.0
2018,Alberta,48,Other materials,All sources of diverted materials,3769.0
2020,Alberta,48,Other materials,All sources of diverted materials,5094.0
2018,Alberta,48,Other materials,Residential sources of diverted materials,1887.0
2020,Alberta,48,Other materials,Residential sources of diverted materials,1695.0
2018,Alberta,48,Other materials,Non-residential sources of diverted materials,1882.0
2020,Alberta,48,Other materials,Non-residential sources of diverted materials,3399.0
2018,British Columbia,59,All materials diverted,All sources of diverted materials,1742710.0
2020,British Columbia,59,All materials diverted,All sources of diverted materials,1845493.0
2018,British Columbia,59,All materials diverted,Residential sources of diverted materials,
2020,British Columbia,59,All materials diverted,Residential sources of diverted materials,
2018,British Columbia,59,All materials diverted,Non-residential sources of diverted materials,
2020,British Columbia,59,All materials diverted,Non-residential sources of diverted materials,
2018,British Columbia,59,All paper fibres,All sources of diverted materials,553596.0
2020,British Columbia,59,All paper fibres,All sources of diverted materials,560304.0
2018,British Columbia,59,All paper fibres,Residential sources of diverted materials,119987.0
2020,British Columbia,59,All paper fibres,Residential sources of diverted materials,193020.0
2018,British Columbia,59,All paper fibres,Non-residential sources of diverted materials,433609.0
2020,British Columbia,59,All paper fibres,Non-residential sources of diverted materials,367284.0
2018,British Columbia,59,Glass,All sources of diverted materials,118109.0
2020,British Columbia,59,Glass,All sources of diverted materials,114921.0
2018,British Columbia,59,Glass,Residential sources of diverted materials,72748.0
2020,British Columbia,59,Glass,Residential sources of diverted materials,86888.0
2018,British Columbia,59,Glass,Non-residential sources of diverted materials,45361.0
2020,British Columbia,59,Glass,Non-residential sources of diverted materials,28033.0
2018,British Columbia,59,Ferrous metals,All sources of diverted materials,69254.0
2020,British Columbia,59,Ferrous metals,All sources of diverted materials,79273.0
2018,British Columbia,59,Ferrous metals,Residential sources of diverted materials,15997.0
2020,British Columbia,59,Ferrous metals,Residential sources of diverted materials,11532.0
2018,British Columbia,59,Ferrous metals,Non-residential sources of diverted materials,53257.0
2020,British Columbia,59,Ferrous metals,Non-residential sources of diverted materials,67741.0
2018,British Columbia,59,Copper and aluminum,All sources of diverted materials,24870.0
2020,British Columbia,59,Copper and aluminum,All sources of diverted materials,17088.0
2018,British Columbia,59,Copper and aluminum,Residential sources of diverted materials,3455.0
2020,British Columbia,59,Copper and aluminum,Residential sources of diverted materials,5887.0
2018,British Columbia,59,Copper and aluminum,Non-residential sources of diverted materials,21415.0
2020,British Columbia,59,Copper and aluminum,Non-residential sources of diverted materials,11200.0
2018,British Columbia,59,Mixed metals,All sources of diverted materials,54508.0
2020,British Columbia,59,Mixed metals,All sources of diverted materials,60466.0
2018,British Columbia,59,Mixed metals,Residential sources of diverted materials,32301.0
2020,British Columbia,59,Mixed metals,Residential sources of diverted materials,25480.0
2018,British Columbia,59,Mixed metals,Non-residential sources of diverted materials,22207.0
2020,British Columbia,59,Mixed metals,Non-residential sources of diverted materials,34985.0
2018,British Columbia,59,White goods,All sources of diverted materials,23983.0
2020,British Columbia,59,White goods,All sources of diverted materials,23038.0
2018,British Columbia,59,White goods,Residential sources of diverted materials,10740.0
2020,British Columbia,59,White goods,Residential sources of diverted materials,14901.0
2018,British Columbia,59,White goods,Non-residential sources of diverted materials,13243.0
2020,British Columbia,59,White goods,Non-residential sources of diverted materials,8137.0
2018,British Columbia,59,Electronics,All sources of diverted materials,16893.0
2020,British Columbia,59,Electronics,All sources of diverted materials,13928.0
2018,British Columbia,59,Electronics,Residential sources of diverted materials,
2020,British Columbia,59,Electronics,Residential sources of diverted materials,
2018,British Columbia,59,Electronics,Non-residential sources of diverted materials,
2020,British Columbia,59,Electronics,Non-residential sources of diverted materials,
2018,British Columbia,59,Plastics,All sources of diverted materials,68137.0
2020,British Columbia,59,Plastics,All sources of diverted materials,59290.0
2018,British Columbia,59,Plastics,Residential sources of diverted materials,31341.0
2020,British Columbia,59,Plastics,Residential sources of diverted materials,38270.0
2018,British Columbia,59,Plastics,Non-residential sources of diverted materials,36796.0
2020,British Columbia,59,Plastics,Non-residential sources of diverted materials,21020.0
2018,British Columbia,59,Gable top and aseptic containers,All sources of diverted materials,291.0
2020,British Columbia,59,Gable top and aseptic containers,All sources of diverted materials,2029.0
2018,British Columbia,59,Gable top and aseptic containers,Residential sources of diverted materials,53.0
2020,British Columbia,59,Gable top and aseptic containers,Residential sources of diverted materials,1794.0
2018,British Columbia,59,Gable top and aseptic containers,Non-residential sources of diverted materials,238.0
2020,British Columbia,59,Gable top and aseptic containers,Non-residential sources of diverted materials,234.0
2018,British Columbia,59,Textiles,All sources of diverted materials,1270.0
2020,British Columbia,59,Textiles,All sources of diverted materials,606.0
2018,British Columbia,59,Textiles,Residential sources of diverted materials,1270.0
2020,British Columbia,59,Textiles,Residential sources of diverted materials,606.0
2018,British Columbia,59,Textiles,Non-residential sources of diverted materials,0.0
2020,British Columbia,59,Textiles,Non-residential sources of diverted materials,0.0
2018,British Columbia,59,Tires,All sources of diverted materials,50230.0
2020,British Columbia,59,Tires,All sources of diverted materials,50266.0
2018,British Columbia,59,Tires,Residential sources of diverted materials,
2020,British Columbia,59,Tires,Residential sources of diverted materials,
2018,British Columbia,59,Tires,Non-residential sources of diverted materials,
2020,British Columbia,59,Tires,Non-residential sources of diverted materials,
2018,British Columbia,59,"Construction, renovation and demolition",All sources of diverted materials,123841.0
2020,British Columbia,59,"Construction, renovation and demolition",All sources of diverted materials,171640.0
2018,British Columbia,59,"Construction, renovation and demolition",Residential sources of diverted materials,40167.0
2020,British Columbia,59,"Construction, renovation and demolition",Residential sources of diverted materials,16609.0
2018,British Columbia,59,"Construction, renovation and demolition",Non-residential sources of diverted materials,83674.0
2020,British Columbia,59,"Construction, renovation and demolition",Non-residential sources of diverted materials,155031.0
2018,British Columbia,59,Organics,All sources of diverted materials,615683.0
2020,British Columbia,59,Organics,All sources of diverted materials,642986.0
2018,British Columbia,59,Organics,Residential sources of diverted materials,388632.0
2020,British Columbia,59,Organics,Residential sources of diverted materials,439156.0
2018,British Columbia,59,Organics,Non-residential sources of diverted materials,227051.0
2020,British Columbia,59,Organics,Non-residential sources of diverted materials,203830.0
2018,British Columbia,59,Other materials,All sources of diverted materials,22045.0
2020,British Columbia,59,Other materials,All sources of diverted materials,49659.0
2018,British Columbia,59,Other materials,Residential sources of diverted materials,17249.0
2020,British Columbia,59,Other materials,Residential sources of diverted materials,43155.0
2018,British Columbia,59,Other materials,Non-residential sources of diverted materials,4796.0
2020,British Columbia,59,Other materials,Non-residential sources of diverted materials,6503.0
2018,"Yukon, Northwest Territories and Nunavut",,All materials diverted,All sources of diverted materials,29319.0
2020,"Yukon, Northwest Territories and Nunavut",,All materials diverted,All sources of diverted materials,28820.0
2018,"Yukon, Northwest Territories and Nunavut",,All materials diverted,Residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,All materials diverted,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,All materials diverted,Non-residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,All materials diverted,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,All paper fibres,All sources of diverted materials,4900.0
2020,"Yukon, Northwest Territories and Nunavut",,All paper fibres,All sources of diverted materials,5378.0
2018,"Yukon, Northwest Territories and Nunavut",,All paper fibres,Residential sources of diverted materials,2128.0
2020,"Yukon, Northwest Territories and Nunavut",,All paper fibres,Residential sources of diverted materials,2148.0
2018,"Yukon, Northwest Territories and Nunavut",,All paper fibres,Non-residential sources of diverted materials,2772.0
2020,"Yukon, Northwest Territories and Nunavut",,All paper fibres,Non-residential sources of diverted materials,3230.0
2018,"Yukon, Northwest Territories and Nunavut",,Glass,All sources of diverted materials,286.0
2020,"Yukon, Northwest Territories and Nunavut",,Glass,All sources of diverted materials,302.0
2018,"Yukon, Northwest Territories and Nunavut",,Glass,Residential sources of diverted materials,249.0
2020,"Yukon, Northwest Territories and Nunavut",,Glass,Residential sources of diverted materials,209.0
2018,"Yukon, Northwest Territories and Nunavut",,Glass,Non-residential sources of diverted materials,37.0
2020,"Yukon, Northwest Territories and Nunavut",,Glass,Non-residential sources of diverted materials,93.0
2018,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,All sources of diverted materials,8352.0
2020,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,All sources of diverted materials,8192.0
2018,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,Residential sources of diverted materials,2588.0
2020,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,Residential sources of diverted materials,2664.0
2018,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,Non-residential sources of diverted materials,5764.0
2020,"Yukon, Northwest Territories and Nunavut",,Ferrous metals,Non-residential sources of diverted materials,5528.0
2018,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,All sources of diverted materials,272.0
2020,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,All sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,Residential sources of diverted materials,269.0
2020,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,Non-residential sources of diverted materials,3.0
2020,"Yukon, Northwest Territories and Nunavut",,Copper and aluminum,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Mixed metals,All sources of diverted materials,611.0
2020,"Yukon, Northwest Territories and Nunavut",,Mixed metals,All sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Mixed metals,Residential sources of diverted materials,109.0
2020,"Yukon, Northwest Territories and Nunavut",,Mixed metals,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Mixed metals,Non-residential sources of diverted materials,502.0
2020,"Yukon, Northwest Territories and Nunavut",,Mixed metals,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,White goods,All sources of diverted materials,114.0
2020,"Yukon, Northwest Territories and Nunavut",,White goods,All sources of diverted materials,189.0
2018,"Yukon, Northwest Territories and Nunavut",,White goods,Residential sources of diverted materials,103.0
2020,"Yukon, Northwest Territories and Nunavut",,White goods,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,White goods,Non-residential sources of diverted materials,11.0
2020,"Yukon, Northwest Territories and Nunavut",,White goods,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Electronics,All sources of diverted materials,260.0
2020,"Yukon, Northwest Territories and Nunavut",,Electronics,All sources of diverted materials,214.0
2018,"Yukon, Northwest Territories and Nunavut",,Electronics,Residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,Electronics,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Electronics,Non-residential sources of diverted materials,
2020,"Yukon, Northwest Territories and Nunavut",,Electronics,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Plastics,All sources of diverted materials,611.0
2020,"Yukon, Northwest Territories and Nunavut",,Plastics,All sources of diverted materials,566.0
2018,"Yukon, Northwest Territories and Nunavut",,Plastics,Residential sources of diverted materials,501.0
2020,"Yukon, Northwest Territories and Nunavut",,Plastics,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Plastics,Non-residential sources of diverted materials,110.0
2020,"Yukon, Northwest Territories and Nunavut",,Plastics,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,All sources of diverted materials,48.0
2020,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,All sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,Residential sources of diverted materials,47.0
2020,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,Residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,Non-residential sources of diverted materials,1.0
2020,"Yukon, Northwest Territories and Nunavut",,Gable top and aseptic containers,Non-residential sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Textiles,All sources of diverted materials,56.0
2020,"Yukon, Northwest Territories and Nunavut",,Textiles,All sources of diverted materials,
2018,"Yukon, Northwest Territories and Nunavut",,Textiles,Residential sources of diverted materials,56.0
2020,"Yukon, Northwest Territories and Nunavut",,Textiles,Residential sources of diverted materials,
