Year,Geography,Type of dwelling,Energy type,GeoCode,Value
2019,British Columbia,Duplex,Electricity,59,38.8
2019,British Columbia,Duplex,Natural gas,59,79.3
2019,British Columbia,Duplex,Heating oil,59,
2019,British Columbia,Low-rise apartment (fewer than 5 stories),"Total, all energy types",59,37.7
2019,British Columbia,Low-rise apartment (fewer than 5 stories),Electricity,59,16.3
2019,British Columbia,Low-rise apartment (fewer than 5 stories),Natural gas,59,61.3
2019,British Columbia,Low-rise apartment (fewer than 5 stories),Heating oil,59,
2019,British Columbia,High-rise apartment (5 stories or more),"Total, all energy types",59,30.0
2019,British Columbia,High-rise apartment (5 stories or more),Electricity,59,15.8
2019,British Columbia,High-rise apartment (5 stories or more),Natural gas,59,
2019,British Columbia,High-rise apartment (5 stories or more),Heating oil,59,
2019,British Columbia,Mobile home,"Total, all energy types",59,93.9
2019,British Columbia,Mobile home,Electricity,59,28.9
2019,British Columbia,Mobile home,Natural gas,59,
2019,British Columbia,Mobile home,Heating oil,59,
2015,Canada,Total,Electricity,,41.8
2015,Canada,Total,Natural gas,,88.4
2015,Canada,Total,Heating oil,,64.4
2015,Newfoundland and Labrador,Total,"Total, all energy types",10,82.7
2015,Newfoundland and Labrador,Total,Electricity,10,64.3
2015,Newfoundland and Labrador,Total,Natural gas,10,
2015,Newfoundland and Labrador,Total,Heating oil,10,98.0
2015,Prince Edward Island,Total,"Total, all energy types",11,105.7
2015,Prince Edward Island,Total,Electricity,11,39.1
2015,Prince Edward Island,Total,Natural gas,11,
2015,Prince Edward Island,Total,Heating oil,11,84.9
2015,Nova Scotia,Total,"Total, all energy types",12,88.1
2015,Nova Scotia,Total,Electricity,12,39.3
2015,Nova Scotia,Total,Natural gas,12,
2015,Nova Scotia,Total,Heating oil,12,93.7
2015,New Brunswick,Total,"Total, all energy types",13,78.8
2015,New Brunswick,Total,Electricity,13,65.3
2015,New Brunswick,Total,Natural gas,13,
2015,New Brunswick,Total,Heating oil,13,89.7
2015,Quebec,Total,"Total, all energy types",24,73.4
2015,Quebec,Total,Electricity,24,67.2
2015,Quebec,Total,Natural gas,24,60.0
2015,Quebec,Total,Heating oil,24,22.9
2015,Ontario,Total,"Total, all energy types",35,101.0
2015,Ontario,Total,Electricity,35,31.2
2015,Ontario,Total,Natural gas,35,90.8
2015,Ontario,Total,Heating oil,35,67.9
2015,Manitoba,Total,"Total, all energy types",46,105.8
2015,Manitoba,Total,Electricity,46,51.9
2015,Manitoba,Total,Natural gas,46,81.7
2015,Manitoba,Total,Heating oil,46,
2015,Saskatchewan,Total,"Total, all energy types",47,112.0
2015,Saskatchewan,Total,Electricity,47,30.8
2015,Saskatchewan,Total,Natural gas,47,88.7
2015,Saskatchewan,Total,Heating oil,47,
2015,Alberta,Total,"Total, all energy types",48,117.7
2015,Alberta,Total,Electricity,48,24.8
2015,Alberta,Total,Natural gas,48,100.3
2015,Alberta,Total,Heating oil,48,
2015,British Columbia,Total,"Total, all energy types",59,80.3
2015,British Columbia,Total,Electricity,59,31.6
2015,British Columbia,Total,Natural gas,59,74.3
2015,British Columbia,Total,Heating oil,59,89.2
2019,Canada,Total,Electricity,,39.7
2019,Canada,Total,Natural gas,,91.6
2019,Canada,Total,Heating oil,,49.7
2019,Newfoundland and Labrador,Total,"Total, all energy types",10,71.6
2019,Newfoundland and Labrador,Total,Electricity,10,60.4
2019,Newfoundland and Labrador,Total,Natural gas,10,
2019,Newfoundland and Labrador,Total,Heating oil,10,50.5
2019,Prince Edward Island,Total,"Total, all energy types",11,75.0
2019,Prince Edward Island,Total,Electricity,11,33.2
2019,Prince Edward Island,Total,Natural gas,11,
2019,Prince Edward Island,Total,Heating oil,11,62.6
2019,Nova Scotia,Total,"Total, all energy types",12,66.4
2019,Nova Scotia,Total,Electricity,12,37.9
2019,Nova Scotia,Total,Natural gas,12,
2019,Nova Scotia,Total,Heating oil,12,50.7
2019,New Brunswick,Total,"Total, all energy types",13,63.5
2019,New Brunswick,Total,Electricity,13,56.0
2019,New Brunswick,Total,Natural gas,13,
2019,New Brunswick,Total,Heating oil,13,46.1
2019,Quebec,Total,"Total, all energy types",24,70.3
2019,Quebec,Total,Electricity,24,63.6
2019,Quebec,Total,Natural gas,24,64.5
2019,Quebec,Total,Heating oil,24,43.8
2019,Ontario,Total,"Total, all energy types",35,94.8
2019,Ontario,Total,Electricity,35,29.7
2019,Ontario,Total,Natural gas,35,86.7
2019,Ontario,Total,Heating oil,35,53.7
2019,Manitoba,Total,"Total, all energy types",46,115.7
2019,Manitoba,Total,Electricity,46,47.7
2019,Manitoba,Total,Natural gas,46,106.0
2019,Manitoba,Total,Heating oil,46,
2019,Saskatchewan,Total,"Total, all energy types",47,120.5
2019,Saskatchewan,Total,Electricity,47,29.9
2019,Saskatchewan,Total,Natural gas,47,98.6
2019,Saskatchewan,Total,Heating oil,47,
2019,Alberta,Total,"Total, all energy types",48,124.6
2019,Alberta,Total,Electricity,48,24.3
2019,Alberta,Total,Natural gas,48,109.8
2019,Alberta,Total,Heating oil,48,
2019,British Columbia,Total,"Total, all energy types",59,86.7
2019,British Columbia,Total,Electricity,59,32.2
2019,British Columbia,Total,Natural gas,59,85.6
2019,British Columbia,Total,Heating oil,59,
