Year,Series,Units,Value
2016,Total value of the supported investment projects ,Millions $ CAD,297.12
2017,Total value of the supported investment projects ,Millions $ CAD,439.44
2018,Total value of the supported investment projects ,Millions $ CAD,636.11
2019,Total value of the supported investment projects ,Millions $ CAD,581.1
2020,Total value of the supported investment projects ,Millions $ CAD,776.9
2021,Total value of the supported investment projects ,Millions $ CAD,1097.43
2016,Nombre de projets,Nombre,173.0
2017,Nombre de projets,Nombre,342.0
2018,Nombre de projets,Nombre,254.0
2019,Nombre de projets,Nombre,239.0
2020,Nombre de projets,Nombre,244.0
2021,Nombre de projets,Nombre,248.0
